label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_um,mean_intensity,max_intensity
275,1300.9285714285713,426.7142857142857,14.0,1.13505476231887,4.222008245644752,558.5365074967536,207.5,235.0
276,63.81818181818182,427.45454545454544,11.0,1.4822832322288846,3.742410318509555,495.08969838615985,122.36363636363636,135.0
277,1200.1666666666667,427.0833333333333,12.0,1.4373655585266922,3.9088200952233594,517.1043250972568,212.0,243.0
278,1167.5,430.3333333333333,24.0,0.9163139266212029,5.527906391541368,731.2959497143268,172.08333333333334,208.0
279,533.3636363636364,431.6363636363636,11.0,1.2171511029377897,3.742410318509555,495.08969838615985,203.8181818181818,226.0
280,547.8,434.12,25.0,0.9193856936759434,5.641895835477563,746.3758032350524,211.04,241.0
281,635.625,433.0,16.0,1.341465907371359,4.51351666838205,597.100642588042,200.8125,228.0
282,709.2666666666667,432.2,15.0,1.1032628324079028,4.370193722368317,578.1402111883085,199.8,223.0
283,122.75,437.5,20.0,0.9058449937228015,5.046265044040321,667.5788131178341,222.85,247.0
284,1071.25,439.0833333333333,12.0,1.6290025362028238,3.9088200952233594,517.1043250972568,199.33333333333334,213.0
285,248.33333333333334,442.46666666666664,15.0,1.1032628324079028,4.370193722368317,578.1402111883085,185.8,208.0
286,879.6153846153846,442.9230769230769,13.0,0.9561611214201826,4.068428945128219,538.2192458659206,211.6153846153846,239.0
287,794.0,443.8,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,174.5,193.0
288,408.5,443.8,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,102.2,119.0
289,766.1666666666666,444.0833333333333,12.0,1.4373655585266922,3.9088200952233594,517.1043250972568,130.08333333333334,154.0
290,430.1,446.8,10.0,1.6906834404925906,3.5682482323055424,472.04950573208737,157.9,176.0
291,503.1666666666667,446.0833333333333,12.0,1.4373655585266922,3.9088200952233594,517.1043250972568,186.58333333333334,215.0
292,685.2,452.3333333333333,15.0,1.257624288160649,4.370193722368317,578.1402111883085,121.0,142.0
293,1498.0,458.5,10.0,1.2566370614233509,3.5682482323055424,472.04950573208737,219.3,236.0
294,93.23529411764706,462.3529411764706,17.0,0.7480167702581976,4.652426491681278,615.477254628669,159.64705882352942,186.0
295,890.6666666666666,462.73333333333335,15.0,1.3871977968811426,4.370193722368317,578.1402111883085,210.2,235.0
296,902.4736842105264,464.94736842105266,38.0,0.7831902459874431,6.955796338302048,920.193890587875,215.05263157894737,241.0
297,865.8181818181819,468.27272727272725,11.0,1.4309831025384843,3.742410318509555,495.08969838615985,156.36363636363637,184.0
298,576.0833333333334,474.1666666666667,12.0,1.4373655585266922,3.9088200952233594,517.1043250972568,165.33333333333334,175.0
299,1003.0666666666667,473.73333333333335,15.0,1.3871977968811426,4.370193722368317,578.1402111883085,210.26666666666668,228.0
300,1074.388888888889,475.55555555555554,18.0,1.1150679494375046,4.787307364817192,633.3208701372743,149.94444444444446,190.0
301,940.5,478.0,16.0,1.4796776500065523,4.51351666838205,597.100642588042,181.625,218.0
302,729.2,479.5,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,137.2,170.0
303,863.0,480.0,11.0,1.4822832322288846,3.742410318509555,495.08969838615985,141.8181818181818,150.0
304,747.1666666666666,481.26666666666665,30.0,0.6600147972878001,6.180387232371033,817.6137276157513,209.96666666666667,234.0
305,877.1428571428571,484.85714285714283,21.0,1.1305407511439014,5.170882945826411,684.0647230416189,142.23809523809524,172.0
306,388.7,486.2,10.0,1.865647953384217,3.5682482323055424,472.04950573208737,216.5,235.0
307,100.07142857142857,490.35714285714283,14.0,1.0631351275997936,4.222008245644752,558.5365074967536,155.21428571428572,181.0
308,288.6521739130435,493.2173913043478,23.0,0.732497237155566,5.4115163798060095,715.8985210785033,203.43478260869566,231.0
309,1499.375,492.75,16.0,1.2550998818257415,4.51351666838205,597.100642588042,141.1875,156.0
310,195.64285714285714,496.64285714285717,14.0,1.3918782161392764,4.222008245644752,558.5365074967536,154.57142857142858,178.0
311,808.8461538461538,497.0,13.0,1.55714602173725,4.068428945128219,538.2192458659206,216.23076923076923,237.0
312,532.875,498.6666666666667,24.0,1.3278012032107074,5.527906391541368,731.2959497143268,190.25,209.0
313,1406.5217391304348,499.1304347826087,23.0,0.9492036674205843,5.4115163798060095,715.8985210785033,207.30434782608697,230.0
314,276.0,498.52941176470586,17.0,0.9449766485344943,4.652426491681278,615.477254628669,210.0,236.0
315,829.0,500.07142857142856,14.0,1.1044048881045887,4.222008245644752,558.5365074967536,205.64285714285714,229.0
316,375.72727272727275,499.8181818181818,11.0,1.4309831025384843,3.742410318509555,495.08969838615985,192.8181818181818,216.0
317,1529.3636363636363,500.27272727272725,11.0,1.3175850953161339,3.742410318509555,495.08969838615985,195.27272727272728,216.0
318,338.7857142857143,503.35714285714283,14.0,1.4353535174563994,4.222008245644752,558.5365074967536,148.64285714285714,170.0
319,819.5,502.5,10.0,1.1586623769231554,3.5682482323055424,472.04950573208737,207.7,233.0
320,1012.0909090909091,504.6363636363636,11.0,1.5596762428443343,3.742410318509555,495.08969838615985,187.45454545454547,221.0
321,463.7,505.1,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,210.9,240.0
322,1464.2142857142858,505.0,14.0,1.2574302462218747,4.222008245644752,558.5365074967536,193.78571428571428,222.0
323,512.1538461538462,507.61538461538464,13.0,1.2461244004744554,4.068428945128219,538.2192458659206,227.53846153846155,243.0
324,653.2,508.0,15.0,1.1832909515406307,4.370193722368317,578.1402111883085,207.93333333333334,228.0
325,497.38461538461536,509.15384615384613,13.0,1.2022380906303238,4.068428945128219,538.2192458659206,207.3846153846154,239.0
326,1136.5,509.0,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,116.2,134.0
327,349.6,510.7,10.0,1.4823935068547494,3.5682482323055424,472.04950573208737,144.2,157.0
328,506.3076923076923,511.6923076923077,13.0,1.3414253751659695,4.068428945128219,538.2192458659206,203.0,231.0
329,370.9375,519.5625,16.0,1.1465174146746457,4.51351666838205,597.100642588042,116.375,140.0
330,672.4166666666666,522.3333333333334,12.0,1.2382388078455102,3.9088200952233594,517.1043250972568,186.66666666666666,211.0
331,875.5,523.5,14.0,1.500400304226443,4.222008245644752,558.5365074967536,192.0,221.0
332,1321.5,525.0,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,183.6,204.0
333,232.71428571428572,526.0,14.0,1.13505476231887,4.222008245644752,558.5365074967536,204.57142857142858,235.0
334,474.0833333333333,527.25,12.0,1.6290025362028238,3.9088200952233594,517.1043250972568,199.16666666666666,230.0
335,593.9,527.9,10.0,1.539225409746966,3.5682482323055424,472.04950573208737,210.1,232.0
336,854.5833333333334,527.4166666666666,12.0,1.4973045520443662,3.9088200952233594,517.1043250972568,115.16666666666667,145.0
337,1229.0,532.8,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,185.1,200.0
338,555.1,535.8,10.0,1.865647953384217,3.5682482323055424,472.04950573208737,165.6,191.0
339,947.55,536.85,20.0,1.0577842983106607,5.046265044040321,667.5788131178341,222.5,242.0
340,102.0,537.5,16.0,1.4796776500065523,4.51351666838205,597.100642588042,138.6875,171.0
341,579.7857142857143,537.3571428571429,14.0,1.4353535174563994,4.222008245644752,558.5365074967536,134.07142857142858,163.0
342,1003.5,544.7142857142857,14.0,1.500400304226443,4.222008245644752,558.5365074967536,230.92857142857142,247.0
343,228.0909090909091,547.0,11.0,1.6931479507216622,3.742410318509555,495.08969838615985,205.36363636363637,228.0
344,530.1,545.7,10.0,1.539225409746966,3.5682482323055424,472.04950573208737,183.1,204.0
345,718.9090909090909,551.3636363636364,11.0,1.5596762428443343,3.742410318509555,495.08969838615985,213.63636363636363,230.0
346,859.8333333333334,555.1666666666666,12.0,1.8616845354376343,3.9088200952233594,517.1043250972568,212.91666666666666,236.0
347,512.1944444444445,562.9722222222222,36.0,1.0357162325265317,6.770275002573076,895.6509638820631,187.38888888888889,213.0
348,831.3,561.2,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,132.8,151.0
349,786.0714285714286,562.7142857142857,14.0,1.2947179437557332,4.222008245644752,558.5365074967536,133.14285714285714,151.0
350,1417.904761904762,568.0,21.0,0.7610412832459463,5.170882945826411,684.0647230416189,175.42857142857142,201.0
351,319.7142857142857,567.0714285714286,14.0,1.2145270120874114,4.222008245644752,558.5365074967536,212.5,230.0
352,1033.75,570.6666666666666,12.0,1.4373655585266922,3.9088200952233594,517.1043250972568,194.58333333333334,218.0
353,104.6875,572.3125,16.0,1.2898320915080566,4.51351666838205,597.100642588042,198.6875,218.0
354,213.5,571.5,12.0,1.1930384709765223,3.9088200952233594,517.1043250972568,159.25,177.0
355,1517.2941176470588,573.7058823529412,17.0,1.2981113960427602,4.652426491681278,615.477254628669,190.64705882352942,223.0
356,1099.3,575.7,10.0,1.5271898776880848,3.5682482323055424,472.04950573208737,193.8,208.0
357,565.1428571428571,580.6071428571429,28.0,0.8028247786632001,5.970821321441846,789.8899039824108,183.85714285714286,208.0
358,656.6428571428571,580.2142857142857,14.0,1.4353535174563994,4.222008245644752,558.5365074967536,212.07142857142858,233.0
359,901.75,585.6666666666666,12.0,1.4373655585266922,3.9088200952233594,517.1043250972568,195.41666666666666,225.0
360,478.2857142857143,597.5,14.0,1.500400304226443,4.222008245644752,558.5365074967536,216.21428571428572,228.0
361,347.1666666666667,602.4444444444445,18.0,0.8757757225696753,4.787307364817192,633.3208701372743,198.22222222222223,224.0
362,502.8125,600.25,16.0,1.1832382474065328,4.51351666838205,597.100642588042,189.75,224.0
363,806.1428571428571,603.7857142857143,14.0,1.400718549180832,4.222008245644752,558.5365074967536,140.21428571428572,167.0
364,967.3684210526316,603.7368421052631,19.0,1.2801537005681733,4.918490759365935,650.6753400411184,155.05263157894737,177.0
365,279.375,611.9375,16.0,0.8852008021404716,4.51351666838205,597.100642588042,227.125,243.0
366,649.8333333333334,610.1111111111111,18.0,1.3311430283323493,4.787307364817192,633.3208701372743,190.5,230.0
367,1291.8181818181818,610.7272727272727,11.0,1.5479685885394687,3.742410318509555,495.08969838615985,129.0,155.0
368,911.2727272727273,617.8181818181819,11.0,1.4309831025384843,3.742410318509555,495.08969838615985,185.0,198.0
369,548.5,621.0,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,142.3,173.0
370,521.5454545454545,623.3636363636364,11.0,1.4822832322288846,3.742410318509555,495.08969838615985,193.1818181818182,209.0
371,880.9473684210526,625.7894736842105,19.0,0.969583867887215,4.918490759365935,650.6753400411184,218.0,243.0
372,1117.48,638.04,25.0,0.813058580994088,5.641895835477563,746.3758032350524,162.68,180.0
373,196.2,638.0,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,215.3,238.0
374,1088.3,639.6,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,120.3,135.0
375,710.7647058823529,645.8235294117648,17.0,0.9449766485344943,4.652426491681278,615.477254628669,197.1764705882353,221.0
376,312.0,646.8,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,196.7,219.0
377,670.4166666666666,645.9166666666666,12.0,1.3903948523077867,3.9088200952233594,517.1043250972568,169.5,199.0
378,1074.3333333333333,646.75,12.0,1.4373655585266922,3.9088200952233594,517.1043250972568,138.58333333333334,162.0
379,1038.4642857142858,647.8928571428571,28.0,0.8083033329960524,5.970821321441846,789.8899039824108,222.64285714285714,245.0
380,581.1538461538462,648.3846153846154,13.0,1.332828266209514,4.068428945128219,538.2192458659206,182.76923076923077,203.0
381,813.5,649.25,16.0,1.2898320915080566,4.51351666838205,597.100642588042,149.3125,174.0
382,216.08695652173913,651.9565217391304,23.0,1.063518310946123,5.4115163798060095,715.8985210785033,212.34782608695653,234.0
383,842.4102564102565,657.5384615384615,39.0,0.752463403875308,7.046725639945928,932.22307945118,198.0,223.0
384,444.7647058823529,657.8235294117648,17.0,1.2503645433956234,4.652426491681278,615.477254628669,199.8235294117647,228.0
385,1276.7272727272727,658.1818181818181,11.0,1.4309831025384843,3.742410318509555,495.08969838615985,207.72727272727272,221.0
386,880.1111111111111,667.4444444444445,18.0,1.0780241689001568,4.787307364817192,633.3208701372743,183.05555555555554,215.0
387,476.3181818181818,671.1363636363636,22.0,0.6008805933086506,5.292567428401227,700.1625660489124,211.77272727272728,232.0
388,517.3809523809524,674.5238095238095,21.0,0.90554030187734,5.170882945826411,684.0647230416189,193.1904761904762,216.0
