label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_nm,refined_diam_px,refined_diam_nm,mean_intensity,max_intensity
104,427.8867196914919,203.25572427090864,4149.0,0.8717929494376891,72.68198450170571,196.0901796268419,72.6819845017057,196.09017962684186,38588.15666425645,57825.0
105,250.2475608169637,30.27605047482763,7687.0,0.32167104913602595,98.93125077739185,266.90860009734104,88.78445582586448,239.53335906171634,39748.04058800572,63736.0
106,35.16503776099511,854.6770324300311,4502.0,0.5829593826718922,75.7107946755131,204.26166717096032,94.34729798025477,254.54146216688898,39735.899155930696,61166.0
107,272.14593140551443,584.534185160278,4461.0,0.8439877914222165,75.36525465400857,203.32942783614283,78.45716253724994,211.6711479524974,36482.247478143916,55512.0
108,445.3392595691278,616.0213344488601,4781.0,0.769534981917529,78.02152435949206,210.49583099996084,73.22019978352331,197.54224139996325,36636.87931395106,58596.0
109,1036.2718829811934,452.41049454376594,4307.0,0.8578652288151427,74.05297238581545,199.78899525913926,74.05297238581545,199.78899525913926,37899.41467378686,59624.0
110,230.88249516441005,118.54400386847195,4136.0,0.8295425187091604,72.5680284769032,195.78273538840668,65.12515376132338,175.7024548357496,39083.44898452611,59881.0
111,504.51255707762556,191.69954337899543,4380.0,0.8610088799703918,74.67790306335611,201.47500823268976,76.20975748516854,205.60782891438592,36887.77328767123,55512.0
112,202.77041046459178,737.062697338746,4434.0,0.8235677079283383,75.13683611488916,202.7131728910818,82.84317828051883,223.50426754657738,38716.00090211998,59881.0
114,768.9244659766571,912.5663950671658,4541.0,0.7819398468512744,76.03802188801583,205.1445000121157,63.559987526905545,171.47976154858904,41403.03391323497,61680.0
115,1051.6211746816196,771.4008743584869,5261.0,0.6741266796041294,81.84444541232894,220.8097661668305,68.41356206261341,184.574317359966,40983.073370081736,61423.0
116,1331.0482138396203,719.1486385211092,4003.0,0.8480365200237148,71.39172149188487,192.60915324738605,75.78505819907778,204.46202421645594,37210.36422682988,56797.0
117,74.63303693570451,107.70998632010944,2924.0,0.7052190983173737,61.01600141606803,164.61629054043829,79.7901556979351,215.2674568605731,39418.56155950752,64764.0
118,646.9719527253484,770.9899453166344,5669.0,0.6967160598787854,84.95878400203028,229.21200253475757,74.50231827870348,201.00129453047973,45622.554771564646,64507.0
119,48.36278359511344,925.5656631762653,4584.0,0.5490536428528667,76.3971862902423,206.11349683617053,66.9944556699048,180.74568184094957,41234.09140488656,62965.0
120,1320.9094331266608,389.9081045172719,4516.0,0.8236646443867102,75.82842332545228,204.57901985820422,77.38387816289745,208.7755125732443,39523.993578387955,58339.0
121,74.43494942448552,20.866236484129754,5734.0,0.3208516803265777,85.44445885785352,230.5223144417802,74.92821776765615,202.1503372797149,43992.134112312524,63222.0
122,197.8854125928823,978.9667579194369,5114.0,0.6396069191175939,80.69291810174931,217.70303760507153,82.34815744742622,222.16874094056016,37434.40692217442,60138.0
123,1180.960773480663,73.08618784530387,3620.0,0.858155465947576,67.89055274440832,183.16328006019413,70.67580619033276,190.6776710370226,36710.39116022099,52942.0
124,996.4151761517616,161.6037940379404,3690.0,0.8404090880536902,68.54381022435761,184.92571648049892,68.54381022435761,184.92571648049892,37087.955555555556,57311.0
125,916.1004301075269,411.69397849462365,4650.0,0.7897728503880864,76.94520051971082,207.59199538613825,75.36683743212701,203.33369804488413,35834.974623655915,54227.0
126,847.1793577981651,912.6665137614679,4360.0,0.8071052898802007,74.50721049029623,201.01449332598003,69.92215138320108,188.64437065976588,39519.998165137615,59624.0
127,397.16782627029306,668.6940754796542,4743.0,0.7187569093703955,77.71084326320798,209.6576382566741,71.33456894417552,192.45496024587004,38614.31773139363,60909.0
128,1082.58635455324,597.895232657722,3503.0,0.8240122129872794,66.78441528685622,180.17900969071513,72.264162182188,194.96292843456868,37506.73993719669,56026.0
129,717.8299098196393,960.6169839679359,3992.0,0.7798755339959533,71.29356396325527,192.34433208774567,68.36869980066018,184.45328256619715,39431.02329659319,59624.0
130,710.7318960751796,247.23687119955775,3618.0,0.795072457185138,67.87179585698185,183.11267547846847,62.30282799179359,168.0880456956198,41590.10116086235,61937.0
131,121.40461215932915,521.9916142557652,3339.0,0.8644963293561703,65.20235302403364,175.91073227060087,65.20235302403364,175.91073227060087,37569.720874513325,55512.0
132,1434.538283062645,84.17517401392111,2586.0,0.7189030110475919,57.381159474910675,154.80977777055102,42.07951694826782,113.52717036507075,35858.85421500387,52942.0
133,362.73907354095786,234.47736194713426,3821.0,0.7905447523467773,69.74989821091539,188.17964538119287,65.45759678255136,176.59935951158099,37729.22768908663,55769.0
